1374289668	0	0
1374289670	0.028395	-0.067633
1374289671	1.1522	-0.12112
1374289673	2.4114	-0.32896
1374289675	3.8751	-0.39999
1374289677	5.5387	-0.52077
1374289679	6.4109	-0.47874
1374289681	8.1173	-0.47557
1374289683	9.7567	-0.60641
1374289685	10.642	-0.68732
1374289687	12.455	-0.84523
1374289689	15.211	-0.93876
1374289691	17.14	-1.2186
1374289693	18.113	-1.338
1374289695	20.986	-1.3925
1374289697	22.843	-1.3781
1374289699	25.501	-1.1576
1374289701	26.175	-0.87385
1374289703	27.157	0.38682
1374289705	27.395	2.1137
1374289707	27.624	3.8178
1374289708	27.624	3.8178
1374289710	28.136	7.4855
1374289712	28.146	9.3647
1374289714	28.146	9.3647
1374289716	28.306	12.236
1374289718	28.361	13.184
1374289720	28.523	16.055
1374289722	28.723	17.927
1374289724	28.73	19.796
1374289726	28.848	21.633
1374289728	28.963	23.47
1374289730	28.918	25.278
1374289732	28.088	26.795
1374289734	26.692	27.812
1374289736	25.055	28.413
1374289738	24.218	28.578
1374289740	21.603	28.98
1374289742	19.801	29.423
1374289744	18.022	29.925
1374289746	17.115	30.043
1374289748	15.397	29.799
1374289750	13.983	28.842
1374289752	13.249	27.352
1374289753	12.265	25.976
1374289756	10.924	24.395
1374289757	10.834	23.867
1374289759	10.738	23.704
1374289761	11.421	25.232
1374289763	12.568	26.279
1374289765	13.339	27.689
1374289767	13.489	29.363
1374289769	13.063	30.135
1374289771	11.558	31.107
1374289773	9.7662	31.571
1374289775	8.8289	31.727
1374289777	6.9261	32.077
1374289779	5.0948	32.349
1374289781	2.313	32.811
1374289783	0.48739	33.078
1374289785	-1.2157	32.868
1374289787	-2.5913	31.751
1374289789	-3.0268	29.985
1374289790	-3.2383	28.038
1374289793	-3.2909	26.198
1374289794	-3.4929	24.215
1374289796	-3.54	23.297
1374289798	-3.5865	22.336
1374289800	-3.7017	19.491
1374289802	-3.8906	17.611
1374289804	-4.0997	15.582
1374289806	-4.3044	13.583
1374289808	-4.4477	11.686
1374289810	-4.5625	9.7852
1374289812	-4.6857	7.9417
1374289815	-4.9383	5.9648
1374289816	-4.7958	3.1688
1374289819	-4.4945	2.3887
1374289820	-2.9088	0.45019
1374289822	-1.1643	0.11548
1374289824	-0.053894	-0.13362
1374289826	-0.061706	-0.17266
